,CV,time,AHT,time24,hour,day,lasthr01
303,442,2018-05-22 10:30:00,676.606334841629,10:30:00,10,1,1
304,469,2018-05-22 11:30:00,628.8400852878465,11:30:00,11,1,1
305,438,2018-05-22 12:00:00,638.6666666666666,12:00:00,12,1,1
306,404,2018-05-22 12:30:00,657.75,12:30:00,12,1,1
307,401,2018-05-22 13:30:00,596.6259351620947,13:30:00,13,1,1
308,414,2018-05-22 14:30:00,636.5289855072464,14:30:00,14,1,1
309,426,2018-05-22 15:00:00,675.8215962441315,15:00:00,15,1,1
310,421,2018-05-22 15:30:00,675.3586698337292,15:30:00,15,1,1
311,365,2018-05-22 16:30:00,623.9561643835616,16:30:00,16,1,1
312,244,2018-05-22 17:30:00,674.4262295081967,17:30:00,17,1,1
313,131,2018-05-22 18:00:00,624.1984732824427,18:00:00,18,1,1
314,116,2018-05-22 18:30:00,501.6034482758621,18:30:00,18,1,1
315,6,2018-05-22 19:00:00,455.5,19:00:00,19,1,0
316,3,2018-05-22 19:30:00,201.66666666666666,19:30:00,19,1,0
317,90,2018-05-23 07:30:00,501.9555555555556,07:30:00,7,2,1
318,170,2018-05-23 08:00:00,542.0,08:00:00,8,2,1
319,178,2018-05-23 08:30:00,678.2191011235955,08:30:00,8,2,1
320,361,2018-05-23 09:00:00,524.0498614958449,09:00:00,9,2,1
321,408,2018-05-23 09:30:00,626.0,09:30:00,9,2,1
322,327,2018-05-23 10:00:00,596.7064220183486,10:00:00,10,2,1
323,300,2018-05-23 10:30:00,652.4733333333334,10:30:00,10,2,1
324,363,2018-05-23 11:30:00,630.4297520661157,11:30:00,11,2,1
325,406,2018-05-23 12:00:00,754.7019704433498,12:00:00,12,2,1
326,350,2018-05-23 12:30:00,599.7685714285715,12:30:00,12,2,1
327,348,2018-05-23 13:30:00,693.6120689655172,13:30:00,13,2,1
328,419,2018-05-23 14:30:00,603.1360381861575,14:30:00,14,2,1
329,412,2018-05-23 15:00:00,645.0825242718447,15:00:00,15,2,1
330,402,2018-05-23 15:30:00,634.2363184079602,15:30:00,15,2,1
331,289,2018-05-23 16:30:00,628.8650519031141,16:30:00,16,2,1
332,258,2018-05-23 17:30:00,555.6201550387597,17:30:00,17,2,1
333,188,2018-05-23 18:00:00,543.468085106383,18:00:00,18,2,1
334,97,2018-05-23 18:30:00,477.0,18:30:00,18,2,1
335,1,2018-05-23 19:00:00,38.0,19:00:00,19,2,0
336,3,2018-05-23 19:30:00,273.3333333333333,19:30:00,19,2,0
337,109,2018-05-24 07:30:00,478.8807339449541,07:30:00,7,3,1
338,213,2018-05-24 08:00:00,560.0704225352113,08:00:00,8,3,1
339,174,2018-05-24 08:30:00,598.7586206896551,08:30:00,8,3,1
340,372,2018-05-24 09:00:00,601.2956989247311,09:00:00,9,3,1
341,425,2018-05-24 09:30:00,645.0988235294118,09:30:00,9,3,1
342,376,2018-05-24 10:00:00,615.9840425531914,10:00:00,10,3,1
343,364,2018-05-24 10:30:00,677.1016483516484,10:30:00,10,3,1
344,406,2018-05-24 11:30:00,636.3300492610838,11:30:00,11,3,1
345,385,2018-05-24 12:00:00,654.5168831168832,12:00:00,12,3,1
346,368,2018-05-24 12:30:00,644.6684782608696,12:30:00,12,3,1
347,401,2018-05-24 13:30:00,620.8653366583541,13:30:00,13,3,1
348,375,2018-05-24 14:30:00,648.3013333333333,14:30:00,14,3,1
349,396,2018-05-24 15:00:00,634.8914141414141,15:00:00,15,3,1
350,332,2018-05-24 15:30:00,621.1716867469879,15:30:00,15,3,1
351,363,2018-05-24 16:30:00,655.9862258953168,16:30:00,16,3,1
352,235,2018-05-24 17:30:00,653.5276595744681,17:30:00,17,3,1
353,119,2018-05-24 18:00:00,690.3193277310925,18:00:00,18,3,1
354,108,2018-05-24 18:30:00,532.2129629629629,18:30:00,18,3,1
355,3,2018-05-24 19:30:00,765.3333333333334,19:30:00,19,3,0
356,76,2018-05-25 07:30:00,649.4473684210526,07:30:00,7,4,1
357,189,2018-05-25 08:00:00,694.9153439153439,08:00:00,8,4,1
358,218,2018-05-25 08:30:00,524.0412844036697,08:30:00,8,4,1
359,471,2018-05-25 09:00:00,500.3099787685775,09:00:00,9,4,1
360,370,2018-05-25 09:30:00,656.8945945945947,09:30:00,9,4,1
361,340,2018-05-25 10:00:00,660.3441176470589,10:00:00,10,4,1
